edge_1,edge_2,length
35,45,12
32,26,18
28,16,10
47,32,16
39,11,11
47,24,4
43,7,15
33,37,5
15,26,25
15,14,24
49,49,12
17,33,12
47,45,14
22,33,17
5,49,15
48,6,4
32,43,18
31,47,6
32,27,17
33,8,7
41,3,19
23,6,9
10,2,16
30,18,11
5,40,14
39,19,13
7,33,14
34,5,12
24,34,7
0,25,13
12,37,15
17,2,12
34,31,13
6,37,17
27,9,14
17,1,6
11,23,12
30,0,18
41,40,12
7,21,9
48,21,8
5,33,15
42,47,2
24,17,17
26,25,14
32,8,11
13,10,10
11,35,7
38,37,11
42,27,18
26,40,21
15,24,22
30,44,10
36,47,6
48,33,3
48,38,15
45,4,18
6,20,11
28,15,16
44,8,15
42,42,9
13,44,8
37,31,10
5,16,7
1,0,19
1,37,8
24,10,13
30,22,16
9,16,10
34,9,2
9,10,4
4,10,8
24,9,9
2,45,6
45,31,13
35,44,13
49,37,9
2,40,13
6,1,17
33,39,11
15,15,19
48,1,11
18,39,17
39,42,11
4,47,15
26,20,15
13,24,8
8,47,7
47,23,17
34,8,7
7,37,19
17,3,19
39,45,11
22,45,15
12,30,25
37,41,12
11,42,13
35,34,9
38,6,14
40,6,5
37,14,1
42,10,11
46,28,13
31,31,16
7,4,10
32,10,10
19,33,13
27,13,15
28,24,13
28,26,6
22,8,11
31,7,10
18,49,12
22,40,22
12,19,19
42,26,14
44,10,15
2,2,8
18,16,4
34,26,7
46,3,17
31,2,12
22,9,17
47,2,17
22,6,13
45,49,7
18,1,18
38,16,14
1,46,12
25,11,24
19,47,13
19,39,13
40,31,1
30,28,14
1,25,8
6,22,16
27,10,9
33,28,10
9,4,9
28,28,15
8,9,11
35,25,13
47,39,18
24,26,11
6,25,6
48,29,5
12,7,17
17,49,11
38,15,20
34,28,6
24,39,15
32,36,18
43,46,10
34,15,16
19,2,5
2,26,4
18,37,11
39,49,13
20,22,17
8,3,22
42,40,11
14,38,16
10,15,17
25,39,22
48,30,11
7,31,19
13,8,11
46,38,15
22,23,15
0,13,12
48,40,15
29,35,12
35,15,8
41,8,4
20,30,17
17,31,11
47,10,11
7,14,20
2,19,3
49,46,17
49,26,14
31,37,13
36,39,6
33,24,8
43,17,22
45,30,20
47,7,7
42,15,11
31,45,9
7,25,21
12,17,17
10,24,12
30,24,18
46,6,4
44,9,15
39,3,25
33,35,8
20,2,16
13,39,12
37,29,8
28,21,16
43,22,12
10,38,13
38,49,15
21,46,9
26,47,13
45,20,9
6,42,3
23,17,12
0,20,10
1,7,10
37,30,11
38,20,7
11,8,8
2,3,7
48,28,11
11,6,10
38,21,18
45,38,14
45,46,16
4,7,5
7,1,25
1,20,4
44,5,19
12,46,19
0,48,15
15,46,26
35,49,5
2,49,9
12,2,24
10,46,13
46,42,7
37,9,12
14,16,15
35,18,12
6,17,12
21,40,19
40,37,10
15,12,22
31,13,13
1,32,12
38,48,21
38,40,20
40,35,12
25,1,23
37,46,13
40,12,7
27,4,12
29,24,15
22,30,10
35,2,16
23,43,13
14,14,17
36,14,3
1,49,12
35,41,15
42,0,28
27,31,8
34,49,10
41,49,7
42,48,8
47,33,14
24,44,12
33,15,13
7,20,17
43,14,19
41,0,14
1,2,17
31,30,13
21,11,18
27,2,19
0,14,5
9,13,9
18,47,3
12,33,22
46,48,15
9,42,7
43,37,18
30,36,18
26,34,14
13,7,9
31,5,7
20,12,4
23,21,12
44,18,9
28,10,11
48,8,10
18,43,20
29,0,18
39,9,10
27,30,20
11,47,8
46,43,17
22,25,19
42,28,15
37,17,13
39,13,17
34,12,13
23,29,4
0,7,6
22,29,19
41,30,13
17,48,18
37,42,11
24,12,9
18,14,12
29,38,20
39,33,16
47,4,10
4,27,15
11,1,9
25,22,25
17,37,8
12,45,6
32,23,21
35,37,14
32,28,12
8,20,13
29,44,8
44,41,11
26,4,18
38,5,18
9,1,7
2,34,14
2,31,13
7,39,24
36,1,7
43,38,25
38,17,12
32,31,9
13,37,11
6,47,5
47,37,15
19,13,18
14,35,4
43,27,22
34,37,7
26,37,20
2,48,14
6,0,28
33,10,6
45,41,11
46,47,9
38,33,13
17,19,7
29,29,10
41,2,12
14,11,16
27,45,7
5,37,18
49,12,19
34,44,8
30,32,13
25,45,20
32,38,23
41,20,9
33,42,4
7,28,22
25,47,22
5,30,15
4,49,12
13,15,13
13,46,12
31,42,4
39,24,16
12,40,21
23,0,20
15,45,23
12,20,15
21,44,11
9,49,8
32,24,15
28,7,12
41,11,5
19,41,19
4,22,11
41,43,15
10,20,14
31,34,6
19,25,15
11,34,12
7,34,19
0,40,13
10,27,12
33,45,7
39,10,10
10,13,12
23,16,7
7,26,21
45,37,14
17,7,8
28,18,14
37,39,6
4,0,26
14,15,12
35,17,16
10,18,14
43,25,20
38,19,15
35,7,4
30,21,20
34,7,9
23,32,5
48,44,7
21,16,4
33,22,16
2,22,14
5,22,17
39,16,14
29,4,14
15,1,21
1,9,9
35,4,9
13,9,6
48,35,11
30,27,13
10,16,9
15,22,28
42,13,20
46,17,12
49,13,14
23,15,14
0,5,15
39,22,15
7,15,17
37,40,9
5,28,18
41,1,5
46,13,12
27,8,10
33,36,15
7,49,20
35,11,12
37,36,12
0,32,8
41,7,5
47,15,9
49,11,7
4,24,2
28,20,6
22,19,4
8,25,8
7,32,22
40,8,3
20,44,11
23,2,11
38,23,10
41,16,9
26,42,15
26,12,16
42,12,12
44,23,13
41,5,14
36,31,12
5,7,12
36,19,1
8,26,10
22,37,13
34,42,9
18,29,14
48,49,11
49,15,22
45,18,15
26,0,27
46,4,3
15,5,23
12,47,17
7,46,11
33,34,11
26,35,17
21,34,10
28,8,12
25,21,21
49,36,16
36,12,11
25,30,15
29,14,8
20,41,7
5,6,16
15,36,25
27,6,12
31,36,11
1,22,14
33,21,5
23,12,11
27,49,8
32,4,13
25,24,24
49,2,14
2,47,8
13,25,11
29,30,17
34,40,12
44,34,13
26,16,14
26,24,17
21,15,8
23,46,6
19,42,11
4,11,17
12,1,12
8,13,11
47,49,10
47,22,13
15,30,28
33,17,9
11,16,9
26,19,20
36,35,7
48,31,8
24,43,20
26,18,16
19,19,8
18,38,18
33,2,13
20,14,11
15,6,20
13,27,15
25,27,22
35,40,4
15,44,24
34,4,11
4,43,18
2,39,8
2,36,2
17,10,7
21,28,13
44,37,13
48,24,10
14,3,27
39,25,9
45,35,11
38,3,27
6,8,14
1,43,17
49,48,26
9,34,9
34,29,10
36,26,2
19,45,11
49,35,14
8,28,12
14,24,12
10,5,17
39,37,9
37,27,4
46,27,12
33,13,9
14,13,10
23,26,6
17,14,9
7,22,13
1,1,10
8,14,13
39,0,20
38,39,12
18,20,9
49,33,20
43,26,21
28,4,15
48,27,10
33,48,12
35,38,19
25,38,27
1,42,10
21,35,15
9,7,7
6,5,19
4,9,11
40,41,11
11,27,6
11,31,12
38,47,13
28,1,5
23,38,15
40,45,8
1,3,24
17,18,11
6,12,15
26,1,12
45,5,9
28,43,7
41,17,13
31,11,11
6,24,9
12,34,14
20,34,9
2,17,10
44,47,6
14,21,12
41,48,14
6,13,9
23,23,10
20,15,16
41,42,6
37,34,10
28,27,5
20,3,23
43,44,19
8,12,11
4,33,12
19,22,16
40,9,7
5,21,15
9,43,11
31,49,4
30,34,18
40,40,16
42,2,10
5,36,16
11,4,13
24,42,12
31,1,15
0,22,11
27,29,14
49,25,14
42,4,12
48,46,14
45,12,10
34,20,12
13,32,12
28,19,11
30,9,20
46,11,16
26,8,10
32,48,21
15,27,24
34,36,5
35,23,17
44,13,18
6,33,14
19,29,15
44,15,15
22,24,19
33,12,9
32,6,13
47,18,10
28,34,12
24,1,16
46,0,25
13,42,6
23,49,6
47,5,17
49,5,15
43,3,24
47,21,9
39,2,18
12,39,11
26,49,11
48,17,12
24,11,18
46,5,15
19,1,14
33,43,14
6,18,11
44,16,7
29,49,11
2,14,5
36,20,10
10,6,3
23,33,9
43,30,18
12,32,19
49,9,20
26,22,21
23,24,10
18,9,16
14,48,21
11,7,4
7,19,12
37,20,11
40,5,8
30,13,17
0,31,14
27,3,26
27,39,12
46,44,9
21,36,10
21,5,19
35,13,13
1,48,18
44,35,11
19,38,18
12,48,23
9,32,6
7,23,23
20,11,12
44,45,15
22,41,23
4,28,12
20,26,10
33,38,12
22,22,20
13,5,16
44,3,25
1,11,10
49,14,10
19,17,15
25,19,9
44,46,12
42,5,19
45,21,19
44,1,6
42,14,15
15,2,27
11,37,2
7,47,11
33,29,13
2,5,15
40,17,12
27,25,15
40,26,10
2,46,12
15,41,26
27,11,15
35,19,11
15,8,18
31,17,11
27,24,9
25,10,15
15,11,23
6,21,14
9,26,5
23,19,6
20,42,8
24,31,15
0,16,7
21,6,12
43,41,20
8,40,13
37,5,11
2,33,8
39,36,13
38,26,10
47,11,17
4,46,9
24,21,5
44,44,12
36,44,3
33,41,17
0,0,15
19,40,18
9,27,9
5,48,12
40,48,13
17,6,10
24,38,20
2,35,9
8,42,5
27,18,15
23,31,11
18,36,13
7,2,17
12,27,14
15,10,17
38,44,12
37,4,12
33,5,12
43,19,12
48,7,8
8,44,11
40,15,4
30,33,17
36,3,13
31,35,11
1,4,13
25,34,20
14,2,20
5,24,10
24,35,15
28,22,15
5,17,24
18,45,13
41,10,8
41,6,6
8,31,14
37,28,5
5,43,24
5,4,16
48,22,16
18,8,9
21,10,9
5,34,17
37,49,5
9,12,11
42,8,12
34,27,7
0,10,9
46,12,6
39,31,9
10,25,9
44,14,14
12,5,15
36,9,11
36,48,12
30,2,16
6,43,21
28,44,13
48,43,17
40,19,7
44,20,10
41,29,6
24,5,19
29,17,17
48,32,7
4,30,8
40,3,19
17,13,12
38,14,12
49,39,13
44,43,20
8,46,16
49,0,16
44,7,1
10,29,15
43,31,18
1,26,7
29,43,19
41,27,7
17,24,5
42,32,15
0,27,8
18,10,12
7,9,21
23,3,18
18,31,11
47,42,11
31,38,14
21,3,15
29,37,7
23,48,12
35,27,13
36,23,4
13,30,16
47,28,13
34,32,8
32,17,20
32,34,13
42,36,12
12,28,9
38,30,21
38,8,12
22,43,20
18,48,9
43,15,17
39,40,18
39,46,13
5,12,16
2,28,9
39,47,13
11,19,2
22,49,14
28,5,6
30,17,20
5,23,20
0,28,9
20,46,15
49,24,18
35,10,6
26,41,17
0,17,14
40,44,9
36,10,7
2,9,13
26,29,13
15,42,20
29,27,11
2,32,5
14,34,13
4,17,17
14,4,13
20,32,14
36,25,12
48,19,5
36,38,11
20,38,18
21,2,8
