edge_1,edge_2,length
43,7,3
33,37,3
35,45,7
39,11,2
49,49,3
15,26,5
32,26,4
28,16,3
3,22,3
47,32,1
15,14,3
47,24,6
31,47,4
10,2,2
47,45,3
3,30,5
5,49,5
5,40,4
30,18,1
32,43,3
22,33,4
17,33,4
3,15,5
32,27,4
23,6,4
48,6,4
33,8,4
41,3,4
34,31,5
17,2,3
12,37,1
6,37,2
34,5,2
24,34,4
17,1,6
39,19,4
41,40,5
0,25,1
27,9,5
7,33,3
11,23,3
30,0,4
16,3,4
42,47,2
36,47,5
38,37,2
24,17,4
11,35,4
26,40,5
26,25,3
5,33,6
42,27,4
15,24,5
30,44,4
13,10,3
32,8,4
48,21,5
7,21,5
37,31,6
1,37,1
42,42,3
48,38,4
34,9,1
48,33,5
9,16,4
5,16,4
45,4,3
30,22,1
28,15,3
1,0,5
13,44,5
9,10,4
4,10,3
24,10,4
44,8,5
6,20,3
45,31,4
49,37,3
2,45,5
6,1,1
2,40,3
24,9,4
35,44,4
4,47,3
8,47,4
39,42,4
3,1,6
48,1,4
15,15,3
47,23,5
13,24,6
34,8,4
33,39,2
18,39,1
26,20,2
31,31,4
7,37,3
22,45,4
39,45,6
12,30,4
11,42,5
35,34,2
46,28,2
37,41,4
37,14,4
38,6,3
40,6,4
42,10,3
17,3,4
31,7,2
27,13,5
18,49,3
22,40,5
19,33,5
28,26,4
7,4,4
28,24,7
32,10,3
22,8,5
47,2,4
2,2,3
31,2,3
12,19,4
22,9,4
42,26,4
34,26,5
18,16,4
44,10,5
16,39,2
46,3,5
19,47,5
40,31,4
25,11,3
45,49,2
18,1,3
16,43,4
30,28,1
1,46,4
38,16,4
22,6,4
19,39,4
35,25,4
1,25,4
8,9,2
33,28,2
28,28,4
9,4,5
6,22,4
27,10,3
12,7,3
19,2,3
18,37,3
32,36,4
39,49,4
17,49,4
42,40,3
6,25,3
34,28,4
24,26,5
2,26,4
43,46,4
20,22,1
38,15,5
34,15,4
48,29,3
47,39,3
24,39,4
8,3,7
48,30,5
14,38,4
10,15,4
25,39,2
7,31,4
3,13,4
0,13,5
20,30,4
29,35,4
46,38,2
48,40,4
35,15,4
22,23,4
13,8,1
41,8,4
17,31,3
31,37,2
45,30,1
43,17,3
2,19,2
49,26,4
49,46,1
7,14,2
33,24,3
47,10,2
36,39,3
47,7,2
20,2,4
31,45,5
12,17,4
33,35,2
7,25,3
3,18,3
44,9,1
3,43,3
42,15,4
10,24,6
30,24,2
46,6,2
39,3,3
26,47,4
1,7,3
37,30,3
6,42,2
38,49,4
23,17,4
10,38,3
21,46,3
43,22,4
37,29,3
11,8,4
28,21,5
13,39,5
38,20,4
0,20,3
45,20,4
4,7,3
44,5,5
7,1,4
45,38,3
0,48,4
48,28,5
12,46,4
45,46,3
3,41,5
11,6,3
38,21,4
1,20,2
2,3,4
12,2,2
40,37,1
31,13,4
46,42,4
35,49,3
2,49,1
6,17,4
38,48,2
38,40,4
21,40,4
35,18,2
37,9,2
15,12,5
10,46,4
15,46,5
14,16,4
1,32,3
27,31,5
35,2,4
22,30,5
1,49,3
25,1,6
40,35,5
23,43,3
40,12,5
37,46,5
35,41,4
27,4,3
14,14,3
36,14,4
29,24,4
42,0,3
1,2,4
27,2,4
9,13,6
31,30,1
21,11,4
41,49,2
34,49,4
42,48,2
47,33,3
33,15,3
43,14,3
0,14,3
41,0,5
24,44,4
7,20,4
18,47,4
16,2,3
43,37,2
9,42,4
46,48,2
12,33,3
13,7,3
27,30,4
31,5,3
26,34,2
30,36,4
44,18,3
39,9,3
18,43,3
20,12,6
29,0,4
28,10,3
48,8,2
23,21,3
11,47,3
0,7,1
39,13,4
41,30,5
37,17,3
17,48,5
22,25,4
46,43,1
42,28,4
34,12,5
16,24,4
22,29,1
23,29,2
37,42,6
11,1,4
29,38,5
39,33,3
24,12,4
47,4,2
25,22,5
18,14,5
4,27,3
35,37,3
17,37,2
12,45,4
38,5,4
9,1,3
32,28,3
44,41,3
26,4,4
32,23,4
29,44,5
8,20,1
32,31,4
2,31,3
13,37,4
2,34,1
36,1,3
38,17,2
43,38,5
7,39,5
6,47,4
26,37,3
47,37,2
34,37,1
19,13,6
14,35,3
2,48,2
43,27,4
6,0,5
46,47,2
41,2,4
14,11,3
17,19,5
38,33,4
45,41,3
16,15,3
16,29,4
29,29,4
33,10,4
25,47,5
5,37,4
25,45,6
27,45,3
5,30,5
33,42,5
4,49,4
32,38,2
7,28,3
49,12,4
30,32,4
34,44,2
41,20,4
31,42,6
12,40,3
13,46,4
13,15,6
39,24,6
23,0,5
15,45,5
9,49,4
21,44,4
12,20,3
28,7,3
11,34,1
7,34,4
31,34,3
41,11,3
0,40,3
19,25,3
41,43,4
19,41,3
4,22,1
10,27,5
32,24,5
10,20,3
17,7,2
45,37,2
33,45,4
10,13,4
35,17,4
43,25,4
10,18,4
28,18,4
7,26,4
