edge_1,edge_2,length
410,655,59
180,573,39
403,236,18
146,745,31
156,625,60
410,49,26
331,788,22
404,993,25
892,484,48
386,311,41
386,459,38
552,390,19
491,460,66
281,631,48
35,265,64
992,216,25
751,483,95
278,793,30
850,793,40
344,743,42
760,743,56
209,471,7
209,109,5
450,454,67
732,993,63
958,31,56
102,98,17
760,722,34
63,322,9
922,76,9
35,862,15
143,128,24
995,361,24
988,279,8
803,588,17
193,386,12
223,905,26
648,520,10
512,969,17
947,920,16
484,640,12
506,113,30
220,113,19
338,223,5
439,724,43
467,236,31
457,809,59
411,543,79
782,761,22
811,17,24
568,366,29
457,471,79
258,109,67
934,993,22
281,685,74
281,743,58
146,520,47
691,430,31
501,454,34
344,632,25
782,743,66
209,993,42
240,777,39
596,632,22
958,668,41
50,124,17
808,791,28
477,592,28
129,909,24
691,939,14
922,638,13
326,471,81
969,822,60
284,19,27
455,413,15
611,25,26
512,38,38
263,113,46
703,575,24
552,941,13
144,658,4
715,200,11
477,0,7
516,85,7
180,925,10
434,655,70
921,3,28
695,745,43
512,59,52
156,445,77
129,905,43
281,543,64
628,25,52
615,67,23
292,678,27
491,864,42
281,797,39
281,454,43
278,454,31
570,645,60
501,865,30
760,625,55
209,685,83
108,668,39
732,445,107
64,575,21
807,460,57
143,483,61
845,520,61
762,790,47
618,471,46
571,801,23
222,567,13
193,830,30
493,998,21
116,162,28
989,604,7
803,349,17
830,575,19
936,575,25
936,786,32
241,655,16
11,122,33
332,31,4
830,173,7
220,655,70
829,486,37
50,236,38
941,60,30
141,59,38
808,831,35
442,59,34
457,75,43
295,202,19
193,993,34
892,31,60
258,786,44
386,801,57
146,631,41
406,311,56
240,109,102
691,719,25
691,790,50
570,756,93
64,31,31
143,471,26
137,891,48
968,815,38
137,635,94
861,792,13
830,393,36
137,527,17
570,282,15
241,475,17
285,862,16
493,542,3
593,905,30
863,234,28
232,614,28
194,651,8
311,935,15
596,236,47
931,573,27
35,573,37
992,25,41
512,445,71
193,719,35
404,458,33
404,935,59
760,652,31
434,246,24
552,265,56
146,575,41
850,905,66
344,504,27
108,483,55
450,459,73
922,520,41
922,311,39
762,460,43
65,207,12
628,931,18
379,222,13
455,7,21
131,312,18
137,38,53
553,38,21
305,686,6
429,475,29
741,848,20
223,635,20
749,695,4
171,853,27
427,113,37
277,192,13
640,445,19
631,367,12
936,65,22
17,745,19
586,745,44
751,361,84
129,239,34
285,787,51
50,25,21
210,239,31
958,787,53
865,543,25
855,154,12
457,865,38
131,965,53
79,483,60
934,109,67
386,149,47
992,668,35
146,797,32
501,504,34
73,793,36
344,484,30
782,504,51
209,793,51
108,454,39
411,471,95
411,504,58
845,390,39
762,367,48
958,504,41
238,793,40
432,367,40
263,891,24
968,85,59
280,632,24
552,567,26
924,393,33
282,397,19
303,830,39
450,617,33
611,6,12
226,564,13
512,427,18
613,49,12
282,617,15
166,759,9
173,75,8
183,421,16
141,791,22
252,750,24
131,726,51
491,787,66
285,207,53
501,207,48
732,787,85
450,139,28
79,788,27
437,529,24
892,109,80
552,705,50
552,393,52
491,865,50
281,31,58
406,504,47
278,625,45
782,0,61
63,905,69
807,797,41
922,445,47
659,993,32
50,786,27
137,676,65
946,685,47
426,354,40
285,831,28
524,534,29
850,157,25
845,300,23
138,139,37
131,888,12
102,6,9
412,672,17
410,234,16
936,31,35
648,640,14
263,272,27
710,215,27
983,59,9
710,787,14
462,788,9
278,640,46
406,655,37
695,236,40
703,236,42
434,750,40
114,573,15
473,236,37
103,224,9
252,67,30
568,956,19
404,265,61
282,777,21
285,993,29
491,993,44
691,686,62
450,504,67
732,864,61
807,173,38
659,889,42
958,685,72
958,993,31
238,786,53
793,686,29
277,492,44
982,492,42
411,397,28
138,739,13
100,998,31
570,385,31
281,386,11
327,112,6
703,889,19
511,790,23
399,197,10
695,613,23
253,900,14
318,421,13
750,745,10
326,60,45
804,445,48
804,26,31
363,818,6
434,430,21
552,91,32
992,686,63
850,75,42
760,149,56
108,504,39
450,124,69
732,865,69
807,31,60
922,889,30
141,361,34
404,50,20
198,902,20
160,222,16
102,722,60
553,384,37
379,445,37
35,874,38
156,139,28
493,88,22
209,101,26
144,535,9
558,724,8
891,676,17
285,9,33
552,874,30
141,753,11
131,715,6
713,188,15
840,745,12
326,887,15
220,60,25
493,787,49
106,697,38
687,788,28
285,124,41
386,719,23
552,458,28
552,311,39
992,865,31
992,445,69
570,797,60
760,484,44
108,460,51
63,31,59
450,625,81
493,216,27
596,797,20
762,935,55
659,801,67
936,801,45
368,312,51
563,198,20
516,905,37
459,471,31
99,971,33
282,278,18
924,49,31
240,67,33
653,656,35
278,820,9
52,402,23
146,432,13
900,66,15
943,445,34
347,113,23
581,905,9
406,312,29
892,750,61
79,745,30
782,543,72
144,366,45
11,913,48
568,610,18
410,520,24
457,246,42
404,430,32
729,216,25
934,640,47
285,607,49
386,993,22
552,685,61
552,607,40
751,246,79
751,390,68
450,631,72
493,483,53
493,430,34
238,0,51
102,676,40
346,686,29
484,686,25
824,567,25
368,2,28
840,265,59
406,364,23
153,985,19
958,278,10
209,658,24
133,382,38
850,853,22
703,520,30
431,31,25
263,331,22
830,504,14
863,588,18
310,965,33
105,445,26
582,101,12
554,724,6
969,506,8
826,327,12
106,655,79
729,655,81
410,750,24
35,25,44
292,655,27
457,65,44
341,763,27
806,428,23
404,109,70
892,520,56
934,265,58
281,756,72
35,390,27
992,632,33
240,685,98
628,625,60
922,109,48
958,640,56
958,149,56
141,676,36
968,552,22
793,801,26
300,801,17
924,109,46
69,30,26
493,182,23
360,772,18
622,246,14
180,17,27
751,411,21
263,427,9
861,905,33
648,265,25
648,445,33
953,152,27
615,215,12
713,786,14
936,173,13
992,655,81
628,655,36
199,655,19
79,573,23
103,697,24
344,361,32
129,579,34
278,361,36
263,567,41
144,610,34
258,801,57
934,75,33
209,973,20
35,685,69
406,793,46
240,645,63
760,685,55
209,273,13
450,865,63
450,367,84
64,520,27
922,859,11
131,471,17
102,946,34
6,25,14
362,188,21
155,438,13
17,49,11
231,788,27
274,887,17
931,655,18
811,67,39
824,428,27
40,674,14
729,575,40
892,459,51
258,645,28
934,668,32
934,430,29
552,993,20
281,216,33
35,459,44
278,75,32
344,865,23
209,265,78
108,149,54
450,864,55
450,750,83
411,246,58
411,575,63
807,430,42
807,75,46
850,37,36
762,430,28
238,216,31
50,640,30
156,361,54
512,920,42
429,539,42
326,445,78
220,309,32
131,403,20
99,647,9
493,402,34
439,88,38
892,604,17
864,756,41
133,419,21
462,152,18
184,722,15
172,85,33
682,708,7
710,613,22
410,215,19
52,182,12
303,746,17
552,128,9
544,474,20
292,833,8
278,686,59
943,655,46
807,750,61
703,745,45
429,745,17
404,809,52
210,567,28
263,265,54
193,705,64
258,631,37
434,756,53
434,631,29
691,865,30
570,109,99
73,75,38
344,483,43
807,865,41
762,459,37
659,705,62
238,246,41
432,458,21
442,920,24
968,874,52
296,26,28
222,59,15
156,272,42
69,724,32
737,169,20
144,375,26
180,788,43
276,31,26
383,539,23
462,503,5
512,907,40
945,809,5
856,331,20
263,467,13
924,75,12
214,652,3
303,958,12
285,312,21
516,655,58
687,236,28
512,573,49
856,236,42
807,361,50
807,809,62
141,105,31
281,787,55
442,105,27
958,207,55
410,801,38
457,830,28
193,935,68
729,645,31
79,631,49
992,793,34
146,484,39
278,459,37
278,607,41
344,786,39
344,993,17
760,504,41
732,625,87
64,91,18
143,705,65
493,645,33
845,786,62
762,797,27
238,645,37
134,759,17
263,112,17
595,745,21
581,471,21
593,471,42
15,699,37
298,471,35
284,531,20
850,542,7
379,640,18
137,338,69
425,157,20
306,259,11
688,81,12
359,822,21
181,265,25
864,607,22
449,817,9
30,722,6
17,31,8
958,745,36
64,236,39
807,745,40
17,236,16
143,745,40
946,60,17
410,788,11
715,818,33
35,631,43
406,0,57
406,75,48
73,756,66
209,705,14
209,459,58
108,445,73
762,973,14
807,273,64
493,786,49
493,367,54
659,839,44
762,686,59
958,367,58
50,265,41
477,421,38
142,279,9
501,722,27
137,695,28
11,540,37
923,454,21
936,26,37
764,640,21
749,331,22
926,26,12
282,67,15
275,940,15
583,483,9
863,872,11
862,236,25
403,573,15
845,543,71
968,25,58
240,361,72
404,889,35
386,483,48
386,504,32
278,797,27
850,458,39
282,719,40
501,459,40
108,756,68
628,632,44
411,625,72
477,318,25
280,54,14
501,635,36
12,901,34
138,107,23
137,426,53
493,909,26
116,182,34
570,67,30
830,607,24
936,484,23
491,282,5
857,315,12
282,683,16
484,655,43
829,367,28
281,745,38
137,579,68
749,788,44
410,802,15
160,202,32
782,37,46
434,216,14
552,668,30
35,719,29
35,935,62
240,655,113
958,843,15
691,460,46
501,393,56
73,905,62
73,459,43
209,26,69
411,685,89
807,0,55
807,889,45
493,459,43
968,459,58
968,173,45
596,149,39
958,273,60
238,631,46
404,830,21
628,222,29
595,454,21
760,76,20
840,354,51
406,711,37
571,471,35
287,873,39
570,397,34
156,527,8
263,658,11
158,726,16
544,475,26
865,445,38
256,913,27
931,973,18
931,773,26
924,484,14
6,965,33
221,210,13
879,905,24
472,697,30
811,787,15
54,367,27
280,188,50
882,60,34
108,809,56
156,105,51
628,543,67
106,338,27
252,49,26
457,575,47
303,631,58
729,935,59
79,905,69
434,109,59
386,460,44
751,632,77
691,483,50
501,458,32
63,483,60
628,483,62
596,607,34
958,520,52
760,939,21
280,889,37
946,402,33
946,905,41
969,265,69
512,722,70
406,432,24
640,109,20
137,234,37
69,88,27
133,139,25
56,539,18
865,790,20
12,2,16
749,613,27
386,397,2
493,762,6
830,645,10
491,958,13
73,45,8
291,655,41
659,745,37
252,573,27
808,105,37
760,787,53
209,361,57
782,361,56
855,529,7
410,445,47
518,117,49
193,864,32
404,631,40
729,265,61
79,367,61
386,109,67
552,483,46
992,273,54
344,460,39
493,865,33
596,719,15
596,91,26
958,705,61
194,208,26
764,109,41
138,419,33
281,432,20
659,711,32
137,965,67
306,202,11
936,520,31
793,905,26
548,935,19
141,788,35
941,773,15
616,443,14
554,614,6
291,905,20
310,88,7
968,406,11
143,655,35
263,655,74
596,745,19
457,361,47
457,207,56
303,809,70
129,685,49
263,471,65
457,686,70
303,454,53
729,26,52
79,520,55
892,65,47
285,367,56
146,801,61
406,390,36
691,645,30
344,705,47
760,471,61
209,246,52
63,246,44
732,236,96
493,685,68
762,173,24
958,393,63
432,246,23
808,875,28
142,246,31
563,547,33
837,635,50
427,722,52
173,109,42
930,534,32
335,6,21
845,432,27
298,265,24
659,779,18
156,25,30
156,85,61
591,0,22
122,534,13
116,69,6
