edge_1,edge_2,length
49,49,36
53,49,30
89,25,21
77,23,23
22,53,35
68,57,35
3,57,20
43,7,44
25,61,46
36,83,42
56,30,20
18,95,33
18,68,47
32,26,18
15,26,10
56,26,18
84,51,12
71,4,35
32,79,17
79,10,25
92,2,15
96,54,5
61,13,28
63,81,50
35,45,34
42,96,14
57,91,29
8,52,29
90,64,12
91,64,40
39,11,51
92,8,18
47,32,47
3,89,32
47,24,38
83,11,34
73,98,31
3,22,24
15,14,59
57,12,20
41,3,25
96,57,9
43,69,21
59,46,37
59,7,50
92,21,15
3,30,29
23,6,12
32,27,13
75,27,20
14,89,40
26,75,32
71,42,43
44,54,28
32,43,32
3,81,36
47,45,17
17,33,17
22,33,21
68,74,26
51,50,23
94,32,45
27,99,67
9,99,64
48,6,17
45,70,31
3,15,10
97,99,42
72,94,38
83,25,20
52,69,25
54,69,38
32,68,17
13,67,2
94,40,28
41,40,12
91,6,25
83,6,25
23,89,17
17,2,15
50,43,33
6,37,19
12,37,34
7,33,18
91,91,46
6,74,19
37,64,40
88,0,43
96,28,17
34,5,41
56,70,24
22,73,34
43,93,51
18,90,31
75,22,1
39,19,54
26,25,20
31,53,34
45,71,24
57,7,41
48,21,9
57,21,25
7,21,18
92,67,12
26,40,37
67,40,37
73,4,44
42,27,18
48,75,30
97,45,27
94,96,11
38,37,29
56,33,22
92,24,43
80,93,42
32,8,26
80,72,6
21,79,29
13,10,30
48,94,16
15,24,61
35,66,28
12,93,56
78,32,35
40,99,28
76,19,52
53,12,28
9,16,4
35,69,42
61,77,18
50,61,36
78,61,44
46,83,20
85,83,34
42,68,31
76,26,27
48,38,23
94,51,19
45,4,43
56,79,17
4,10,35
13,44,31
42,42,36
68,43,49
48,33,29
32,91,27
96,52,23
49,64,29
42,86,25
54,86,37
44,8,37
6,20,44
38,77,18
9,10,27
2,94,37
77,66,44
42,93,51
72,69,27
80,12,8
50,25,28
53,25,27
61,23,26
80,3,15
52,71,17
43,78,19
13,77,24
78,83,44
9,68,39
59,17,36
73,17,33
68,67,16
2,40,40
50,70,2
67,94,32
35,44,31
84,43,25
61,81,35
2,45,28
49,37,33
19,91,31
75,91,34
71,0,35
82,22,21
63,18,54
51,18,42
45,66,46
83,28,19
57,11,39
67,88,18
84,14,37
47,23,23
60,53,40
96,53,19
85,69,29
60,69,31
13,61,28
80,51,15
57,6,33
48,79,3
34,8,45
89,8,15
36,50,26
84,98,16
20,94,23
39,42,15
15,15,35
13,24,47
52,11,43
26,20,58
17,3,21
15,77,36
12,30,39
9,67,13
63,4,49
56,4,36
80,89,7
91,36,42
42,10,28
79,13,10
39,45,39
22,45,29
75,37,33
7,37,24
97,33,21
67,91,32
23,52,22
37,41,36
57,93,48
72,2,31
40,6,21
38,6,23
90,4,39
46,28,16
46,99,70
37,14,16
68,19,57
18,49,35
77,53,36
19,57,22
6,71,5
36,69,37
