edge_1,edge_2,length
209,471,7
209,109,5
404,993,25
281,631,48
552,390,19
512,969,17
223,905,26
958,31,56
386,311,41
386,459,38
850,793,40
403,236,18
760,722,34
995,361,24
803,588,17
992,216,25
180,573,39
156,625,60
760,743,56
410,49,26
892,484,48
278,793,30
410,655,59
220,113,19
450,454,67
143,128,24
35,862,15
751,483,95
506,113,30
102,98,17
331,788,22
648,520,10
344,743,42
732,993,63
35,265,64
491,460,66
63,322,9
193,386,12
338,223,5
922,76,9
484,640,12
988,279,8
947,920,16
146,745,31
439,724,43
922,638,13
568,366,29
477,592,28
457,809,59
284,19,27
691,430,31
146,520,47
326,471,81
808,791,28
50,124,17
258,109,67
934,993,22
457,471,79
611,25,26
263,113,46
782,743,66
552,941,13
467,236,31
411,543,79
782,761,22
958,668,41
811,17,24
281,685,74
144,658,4
209,993,42
715,200,11
691,939,14
477,0,7
501,454,34
512,38,38
969,822,60
129,909,24
281,743,58
240,777,39
596,632,22
344,632,25
703,575,24
455,413,15
180,925,10
516,85,7
129,905,43
830,575,19
209,685,83
921,3,28
732,445,107
11,122,33
570,645,60
222,567,13
281,543,64
760,625,55
108,668,39
278,454,31
491,864,42
803,349,17
762,790,47
64,575,21
501,865,30
936,575,25
193,830,30
493,998,21
695,745,43
618,471,46
156,445,77
615,67,23
281,454,43
241,655,16
936,786,32
807,460,57
845,520,61
628,25,52
292,678,27
434,655,70
281,797,39
116,162,28
571,801,23
830,173,7
332,31,4
989,604,7
512,59,52
143,483,61
64,31,31
240,109,102
141,59,38
570,756,93
386,801,57
137,891,48
137,527,17
691,790,50
50,236,38
137,635,94
193,993,34
830,393,36
808,831,35
258,786,44
968,815,38
457,75,43
146,631,41
295,202,19
442,59,34
285,862,16
143,471,26
941,60,30
220,655,70
691,719,25
892,31,60
829,486,37
194,651,8
406,311,56
593,905,30
863,234,28
232,614,28
570,282,15
493,542,3
311,935,15
861,792,13
241,475,17
455,7,21
404,458,33
108,483,55
344,504,27
760,652,31
762,460,43
992,25,41
223,635,20
450,459,73
35,573,37
640,445,19
596,236,47
137,38,53
922,520,41
931,573,27
741,848,20
193,719,35
277,192,13
512,445,71
552,265,56
922,311,39
429,475,29
171,853,27
427,113,37
146,575,41
404,935,59
553,38,21
379,222,13
850,905,66
628,931,18
131,312,18
434,246,24
749,695,4
631,367,12
65,207,12
305,686,6
936,65,22
512,427,18
386,149,47
501,504,34
282,397,19
280,632,24
141,791,22
146,797,32
762,367,48
552,567,26
845,390,39
855,154,12
751,361,84
129,239,34
263,891,24
782,504,51
934,109,67
344,484,30
411,504,58
865,543,25
992,668,35
411,471,95
108,454,39
303,830,39
285,787,51
210,239,31
586,745,44
432,367,40
238,793,40
173,75,8
924,393,33
282,617,15
50,25,21
79,483,60
968,85,59
958,504,41
613,49,12
450,617,33
457,865,38
131,965,53
17,745,19
209,793,51
958,787,53
73,793,36
166,759,9
611,6,12
183,421,16
226,564,13
936,31,35
782,0,61
285,207,53
278,640,46
278,625,45
946,685,47
263,272,27
659,993,32
410,234,16
922,445,47
648,640,14
63,905,69
710,215,27
131,726,51
845,300,23
50,786,27
437,529,24
406,504,47
491,787,66
491,865,50
501,207,48
131,888,12
892,109,80
552,705,50
138,139,37
79,788,27
137,676,65
450,139,28
252,750,24
807,797,41
285,831,28
281,31,58
426,354,40
552,393,52
524,534,29
850,157,25
732,787,85
412,672,17
102,6,9
462,788,9
983,59,9
710,787,14
238,786,53
793,686,29
450,504,67
659,889,42
473,236,37
282,777,21
703,236,42
138,739,13
114,573,15
434,750,40
491,993,44
285,993,29
100,998,31
958,685,72
252,67,30
277,492,44
695,613,23
691,686,62
695,236,40
570,385,31
404,265,61
411,397,28
511,790,23
982,492,42
703,889,19
732,864,61
568,956,19
807,173,38
958,993,31
406,655,37
318,421,13
253,900,14
750,745,10
399,197,10
327,112,6
281,386,11
103,224,9
850,75,42
209,101,26
732,865,69
552,91,32
922,889,30
198,902,20
160,222,16
760,149,56
144,535,9
379,445,37
141,361,34
326,60,45
552,874,30
807,31,60
404,50,20
108,504,39
450,124,69
992,686,63
804,26,31
285,9,33
553,384,37
156,139,28
493,88,22
102,722,60
35,874,38
804,445,48
434,430,21
891,676,17
363,818,6
713,188,15
131,715,6
558,724,8
840,745,12
141,753,11
450,625,81
936,801,45
368,312,51
943,445,34
285,124,41
52,402,23
900,66,15
992,865,31
493,787,49
63,31,59
762,935,55
347,113,23
924,49,31
108,460,51
516,905,37
760,484,44
459,471,31
282,278,18
992,445,69
106,697,38
326,887,15
240,67,33
552,458,28
687,788,28
99,971,33
552,311,39
570,797,60
220,60,25
493,216,27
653,656,35
596,797,20
659,801,67
386,719,23
146,432,13
278,820,9
563,198,20
581,905,9
406,312,29
892,750,61
552,685,61
450,631,72
79,745,30
263,331,22
863,588,18
934,640,47
729,216,25
102,676,40
368,2,28
133,382,38
840,265,59
310,965,33
850,853,22
703,520,30
782,543,72
958,278,10
830,504,14
209,658,24
431,31,25
238,0,51
285,607,49
346,686,29
751,246,79
406,364,23
410,520,24
11,913,48
493,483,53
824,567,25
404,430,32
105,445,26
457,246,42
552,607,40
484,686,25
153,985,19
493,430,34
386,993,22
751,390,68
582,101,12
554,724,6
568,610,18
826,327,12
969,506,8
144,366,45
457,65,44
648,445,33
628,625,60
263,427,9
180,17,27
953,152,27
934,265,58
292,655,27
240,685,98
281,756,72
924,109,46
968,552,22
892,520,56
861,905,33
648,265,25
751,411,21
793,801,26
106,655,79
958,640,56
141,676,36
493,182,23
922,109,48
69,30,26
729,655,81
806,428,23
992,632,33
35,25,44
35,390,27
404,109,70
713,786,14
360,772,18
410,750,24
958,149,56
341,763,27
300,801,17
936,173,13
615,215,12
622,246,14
35,685,69
144,610,34
102,946,34
992,655,81
258,801,57
240,645,63
209,273,13
628,655,36
209,973,20
129,579,34
199,655,19
344,361,32
103,697,24
131,471,17
760,685,55
406,793,46
231,788,27
450,865,63
263,567,41
934,75,33
64,520,27
450,367,84
278,361,36
362,188,21
922,859,11
79,573,23
17,49,11
155,438,13
274,887,17
6,25,14
552,993,20
892,459,51
278,75,32
411,575,63
807,430,42
303,746,17
762,430,28
439,88,38
156,361,54
493,402,34
807,75,46
429,539,42
864,756,41
892,604,17
411,246,58
824,428,27
50,640,30
811,67,39
131,403,20
184,722,15
278,686,59
934,668,32
710,613,22
326,445,78
512,920,42
108,149,54
281,216,33
258,645,28
220,309,32
934,430,29
172,85,33
850,37,36
410,215,19
209,265,78
52,182,12
450,864,55
344,865,23
133,419,21
729,575,40
35,459,44
931,655,18
462,152,18
238,216,31
450,750,83
40,674,14
552,128,9
544,474,20
99,647,9
682,708,7
292,833,8
222,59,15
73,75,38
807,865,41
807,750,61
762,459,37
691,865,30
570,109,99
512,907,40
429,745,17
924,75,12
210,567,28
156,272,42
263,265,54
383,539,23
258,631,37
285,312,21
432,458,21
69,724,32
434,631,29
968,874,52
276,31,26
659,705,62
144,375,26
856,331,20
180,788,43
737,169,20
238,246,41
404,809,52
344,483,43
442,920,24
703,745,45
434,756,53
296,26,28
943,655,46
193,705,64
214,652,3
263,467,13
945,809,5
303,958,12
462,503,5
958,207,55
992,793,34
64,91,18
298,471,35
760,504,41
807,361,50
732,625,87
284,531,20
141,105,31
516,655,58
79,631,49
581,471,21
143,705,65
278,459,37
278,607,41
344,786,39
238,645,37
762,797,27
595,745,21
410,801,38
807,809,62
512,573,49
729,645,31
359,822,21
864,607,22
181,265,25
845,786,62
281,787,55
146,484,39
593,471,42
493,645,33
457,830,28
379,640,18
442,105,27
193,935,68
263,112,17
850,542,7
15,699,37
856,236,42
344,993,17
306,259,11
134,759,17
137,338,69
687,236,28
425,157,20
17,31,8
449,817,9
30,722,6
688,81,12
410,788,11
406,0,57
209,705,14
406,75,48
936,26,37
17,236,16
749,331,22
11,540,37
583,483,9
807,745,40
958,745,36
715,818,33
501,722,27
35,631,43
108,445,73
64,236,39
764,640,21
137,695,28
477,421,38
493,786,49
142,279,9
923,454,21
493,367,54
807,273,64
73,756,66
209,459,58
762,973,14
143,745,40
946,60,17
659,839,44
50,265,41
762,686,59
958,367,58
275,940,15
282,67,15
926,26,12
863,872,11
386,483,48
282,683,16
138,107,23
493,909,26
278,797,27
411,625,72
477,318,25
12,901,34
830,607,24
501,635,36
862,236,25
282,719,40
386,504,32
116,182,34
628,632,44
137,426,53
845,543,71
501,459,40
