edge_1,edge_2,length
33,37,22
28,16,44
49,49,12
47,32,39
31,47,38
33,8,34
5,40,57
5,49,53
17,33,23
23,6,34
22,33,27
48,6,16
24,34,45
11,23,3
7,33,25
12,37,25
41,40,34
27,9,22
34,5,30
17,1,48
6,37,50
24,17,58
7,21,41
5,33,30
36,47,25
42,47,55
38,37,20
13,10,25
48,21,7
24,10,48
44,8,14
9,16,19
9,10,26
5,16,28
34,9,28
45,4,35
42,42,6
1,0,26
1,37,42
13,44,29
48,33,33
6,20,16
4,10,40
24,9,32
35,44,34
2,40,20
49,37,32
6,1,8
33,39,33
3,1,35
34,8,24
39,42,25
48,1,24
18,39,40
8,47,61
4,47,53
47,23,36
35,34,24
11,42,39
7,37,44
37,14,32
37,41,12
40,6,5
42,10,33
38,6,25
46,28,28
22,45,28
7,4,7
28,26,22
22,40,13
22,8,37
19,33,24
18,49,7
44,10,6
16,39,16
34,26,32
42,26,39
22,9,24
18,16,24
12,19,25
16,43,17
45,49,34
22,6,13
19,39,42
19,47,38
1,46,19
38,16,43
18,1,45
25,11,14
33,28,24
9,4,24
28,28,23
27,10,10
8,9,32
24,39,55
24,26,48
2,26,37
34,28,14
42,40,53
17,49,10
39,49,9
48,29,53
18,37,39
47,39,33
43,46,27
38,15,8
25,39,18
41,8,41
22,23,14
13,8,20
48,40,33
31,37,31
7,14,38
49,46,20
49,26,26
36,39,29
47,10,26
43,17,26
44,9,18
12,17,39
3,18,13
3,43,40
46,6,36
11,8,39
37,29,39
28,21,46
45,20,25
23,17,38
38,20,14
38,49,26
13,39,32
6,42,34
0,20,13
11,6,19
7,1,12
44,5,20
12,46,2
3,41,26
45,46,2
1,20,8
38,21,16
48,28,42
35,18,9
35,49,16
2,49,11
37,9,16
14,16,14
40,37,33
1,32,21
38,40,25
10,46,31
46,42,48
6,17,54
38,48,9
35,41,22
37,46,15
25,1,7
14,14,65
36,14,50
27,4,26
42,0,65
23,43,12
1,49,10
24,44,52
7,20,20
41,0,10
41,49,30
34,49,18
47,33,41
43,14,44
0,14,23
9,42,18
12,33,23
18,47,46
43,37,12
31,5,8
44,18,19
28,10,25
29,0,48
23,21,11
39,9,7
48,8,52
18,43,27
11,47,34
37,17,42
42,28,50
23,29,63
22,29,47
46,43,14
11,1,27
37,42,22
39,33,22
18,14,33
47,4,42
35,37,36
44,41,14
9,1,28
29,44,29
17,37,42
38,5,38
8,20,51
12,45,30
2,34,34
7,39,45
36,1,24
38,17,34
13,37,31
34,37,12
6,47,57
6,0,34
47,37,22
33,10,26
16,29,58
29,29,65
45,41,40
38,33,31
46,47,33
7,28,46
33,42,39
25,47,35
5,37,52
41,20,23
34,44,10
4,49,14
25,45,31
31,42,12
12,40,30
23,0,46
13,46,19
9,49,2
12,20,21
11,34,18
31,34,33
7,34,35
41,43,17
19,41,17
10,20,3
0,40,31
35,17,14
7,26,11
37,39,39
28,18,25
16,8,41
45,37,28
23,16,47
39,10,33
10,18,13
4,0,30
35,4,2
29,4,18
23,32,3
39,16,26
1,9,20
13,9,39
48,44,38
38,19,18
37,40,5
10,16,33
46,17,40
0,5,9
7,49,12
33,36,37
37,36,20
5,28,54
41,1,32
16,16,42
27,8,18
3,49,20
0,32,6
7,32,33
20,44,49
28,20,22
41,16,11
3,33,33
40,8,45
38,23,9
22,19,23
44,23,16
41,5,6
8,26,12
34,42,34
45,18,42
22,37,25
48,49,20
46,4,33
18,29,40
7,46,31
33,34,39
12,47,32
20,41,25
28,8,10
25,21,10
49,36,14
29,14,58
2,47,50
31,36,24
33,21,47
5,6,62
27,6,16
27,49,12
34,40,17
44,34,19
12,1,30
16,0,41
23,46,1
19,42,27
47,49,28
24,43,42
35,40,41
11,16,40
33,17,36
20,14,45
19,19,21
2,39,44
2,36,25
44,37,2
34,4,32
17,10,36
1,43,30
6,8,62
4,43,34
9,34,13
36,26,29
16,4,36
34,29,51
10,5,28
8,28,56
19,45,5
17,14,36
23,26,35
39,37,29
1,1,17
8,14,48
28,4,18
49,33,13
40,41,7
39,0,25
1,42,26
38,39,31
18,20,36
6,5,30
4,9,24
43,26,23
25,38,8
28,1,31
17,18,3
38,47,27
2,17,47
44,47,9
12,34,15
20,34,42
28,43,9
14,21,27
41,17,30
16,41,31
45,5,46
23,23,38
37,34,17
41,42,10
40,9,11
4,33,27
43,44,10
24,42,38
11,4,34
31,1,34
31,49,32
9,43,10
5,21,41
5,36,39
27,29,45
40,40,22
42,4,35
34,20,6
13,32,21
48,46,16
35,23,50
34,36,32
19,29,44
6,33,31
24,1,12
28,34,16
49,5,12
23,49,30
13,42,15
46,0,48
47,18,39
47,5,40
2,14,37
33,43,10
44,16,25
12,39,36
12,32,4
49,9,10
36,20,15
29,49,32
3,10,36
23,33,22
19,1,15
10,6,26
48,17,54
46,5,44
18,9,17
6,18,47
47,21,47
7,23,30
9,32,24
37,20,23
27,39,17
3,5,32
40,5,13
46,44,24
12,48,16
20,26,45
16,26,25
22,41,20
13,5,11
4,28,48
44,1,18
44,46,17
49,14,26
45,21,12
42,14,10
42,5,61
19,17,45
25,19,26
2,46,30
2,5,23
11,37,27
7,47,51
33,29,56
40,17,37
40,26,27
31,17,32
9,26,28
20,42,35
25,10,11
6,21,37
8,40,59
43,41,24
0,16,1
24,21,41
2,33,24
33,41,29
44,44,23
37,5,18
36,44,16
39,36,11
19,40,24
38,26,40
4,46,34
0,0,13
27,18,23
17,6,52
18,36,21
8,42,38
33,5,35
37,4,28
16,9,23
3,20,26
38,44,18
8,44,52
25,34,16
1,4,32
37,28,31
5,17,47
5,43,40
5,4,39
41,6,39
41,10,20
18,8,51
44,14,34
12,5,8
37,49,6
5,34,48
36,9,34
42,8,60
6,43,38
0,10,10
24,5,34
44,20,9
28,44,19
41,29,27
29,17,26
3,26,46
48,43,28
48,32,24
44,43,13
49,39,33
49,0,16
29,43,19
1,26,36
38,14,52
10,29,49
8,46,42
7,9,22
36,23,32
29,37,31
42,32,29
18,10,33
47,42,44
12,28,27
34,32,29
42,36,35
22,43,26
39,40,34
38,8,32
47,28,24
2,28,45
20,46,28
28,5,39
5,23,66
22,49,14
39,47,36
39,46,29
0,28,32
11,19,12
35,10,40
2,32,32
2,9,21
20,32,30
14,34,34
14,4,25
36,10,22
40,44,31
4,17,50
47,40,27
0,17,20
48,19,9
9,21,32
9,41,8
49,34,23
10,4,38
48,0,36
8,10,48
25,2,13
11,5,35
41,34,31
36,18,32
29,21,20
29,41,38
3,42,8
40,23,9
45,29,67
19,4,33
10,1,12
47,41,34
14,49,39
36,34,9
23,5,42
38,4,40
22,11,11
11,21,10
34,46,27
22,14,40
47,1,25
44,39,13
28,17,35
14,20,26
16,36,11
23,20,21
39,28,31
39,8,41
1,8,54
47,9,38
27,46,9
25,7,12
44,28,4
12,49,31
28,23,35
28,46,36
36,4,25
16,33,27
29,9,30
40,43,21
45,1,34
17,32,32
38,18,37
46,16,49
18,21,37
44,40,7
14,33,16
14,43,26
14,37,38
16,17,19
16,34,20
27,34,23
23,42,46
10,40,21
46,26,37
