edge_1,edge_2,length
20,55,10
12,93,28
34,9,19
85,63,17
16,93,24
23,93,14
34,93,27
23,21,9
12,45,18
4,98,15
1,93,7
66,21,30
66,1,28
4,77,17
50,93,18
19,97,8
12,1,21
50,21,13
4,33,14
94,75,16
47,21,6
90,1,11
20,77,7
87,67,16
9,21,3
80,7,11
47,93,11
66,50,17
12,77,11
97,63,7
16,21,19
3,63,13
12,21,23
90,21,13
16,1,17
97,54,1
34,1,20
87,75,24
80,18,7
97,97,7
12,9,20
34,21,22
60,7,18
9,93,8
50,1,11
66,93,35
82,33,8
20,45,14
19,54,9
19,63,15
12,98,9
4,55,20
90,93,18
4,45,24
66,9,27
60,18,14
12,55,14
28,63,10
34,50,9
4,27,3
9,1,1
94,67,8
12,20,4
3,54,7
90,9,10
82,39,4
80,49,2
13,27,9
50,9,10
67,75,8
4,71,3
2,57,1
20,98,5
6,18,1
15,95,1
48,0,6
47,1,4
66,34,8
12,95,4
82,40,1
49,18,5
98,45,9
4,20,10
68,22,1
37,69,8
21,93,5
87,94,8
81,99,7
1,21,2
98,77,2
32,76,7
85,28,7
4,40,7
49,7,9
12,90,10
38,35,7
23,1,7
16,23,10
54,63,6
98,55,5
40,33,7
19,10,6
80,26,10
60,49,9
