edge_1,edge_2,length
89,25,6
25,61,7
58,32,4
58,81,8
15,26,7
71,4,10
75,97,11
3,57,8
32,79,4
10,85,5
56,26,8
62,87,11
32,26,4
52,58,5
58,34,4
61,13,5
28,16,4
56,30,8
53,49,6
35,45,6
49,49,10
84,51,6
90,64,7
96,54,7
83,11,11
2,80,1
73,98,3
7,55,8
91,64,9
47,32,6
39,11,8
3,89,7
47,24,11
8,52,10
64,48,9
33,37,9
65,50,9
28,63,6
68,57,7
57,91,5
42,96,9
58,93,5
60,84,7
18,68,2
79,10,7
36,83,6
27,65,4
18,95,4
3,22,8
92,2,7
92,8,5
63,81,8
77,23,9
22,53,6
15,14,7
43,7,11
62,43,12
71,85,7
3,81,8
23,6,8
22,33,4
96,57,6
92,21,6
48,6,8
57,12,5
45,70,8
86,10,5
43,87,8
67,92,6
99,76,6
71,42,10
26,75,3
27,99,8
24,87,8
32,43,9
5,49,9
97,99,7
75,27,8
3,15,8
20,55,5
59,46,4
29,72,6
31,47,3
5,40,8
44,54,12
51,50,4
89,47,6
58,40,6
29,57,7
43,69,4
33,8,2
68,74,6
44,84,7
16,97,4
94,32,7
9,99,6
32,27,3
86,73,8
17,33,6
23,85,8
10,2,3
62,1,10
72,94,7
41,3,8
30,18,6
69,1,9
62,27,7
55,91,9
93,28,12
93,29,2
47,45,5
93,80,6
3,30,7
14,89,13
59,7,7
7,33,6
43,93,8
24,34,9
16,3,8
83,25,7
0,25,6
13,67,6
30,0,5
64,12,6
94,40,8
34,31,8
6,74,6
50,43,7
11,23,5
22,73,3
88,56,7
17,1,10
6,37,9
87,65,7
99,52,7
41,40,8
93,53,8
54,69,5
0,57,6
24,60,6
53,58,8
96,28,5
30,51,6
97,56,9
56,70,8
23,89,4
62,78,11
34,5,4
88,0,9
91,6,8
83,6,9
91,91,8
12,85,3
65,23,7
37,64,4
17,2,8
74,34,6
12,37,10
97,84,7
32,68,5
27,9,6
75,22,9
18,90,7
52,69,6
39,19,10
58,98,5
56,33,6
33,84,7
58,33,6
36,47,7
92,24,11
57,21,5
31,53,6
5,33,8
68,60,8
94,96,10
32,8,6
7,87,6
13,10,5
11,35,5
87,40,3
7,21,6
26,25,4
42,47,9
42,27,5
92,67,8
73,4,7
55,99,8
12,93,5
67,40,9
58,89,5
77,92,7
61,56,7
51,58,6
24,17,7
38,37,10
86,37,9
80,93,6
48,94,6
35,66,4
38,58,5
94,62,5
30,44,5
21,79,7
48,75,7
44,55,7
65,9,8
95,97,10
26,40,7
97,45,2
52,62,5
