edge_1,edge_2,length
64,48,9
53,49,6
92,8,5
92,2,7
7,55,8
27,65,4
2,80,1
71,4,10
32,79,4
90,64,7
60,84,7
8,52,10
39,11,8
43,7,11
68,57,7
18,95,4
18,68,2
56,26,8
56,30,8
96,54,7
75,97,11
77,23,9
28,63,6
25,61,7
33,37,9
84,51,6
73,98,3
52,58,5
57,91,5
3,57,8
65,50,9
49,49,10
35,45,6
63,81,8
32,26,4
36,83,6
79,10,7
91,64,9
28,16,4
47,24,11
47,32,6
22,53,6
42,96,9
89,25,6
58,32,4
58,93,5
58,81,8
58,34,4
3,89,7
3,22,8
15,14,7
15,26,7
83,11,11
62,87,11
10,85,5
61,13,5
45,70,8
92,21,6
31,47,3
17,33,6
94,32,7
27,99,8
71,42,10
71,85,7
32,43,9
48,6,8
86,10,5
86,73,8
69,1,9
24,87,8
97,99,7
23,6,8
43,69,4
43,87,8
96,57,6
75,27,8
99,76,6
22,33,4
59,46,4
59,7,7
72,94,7
89,47,6
5,40,8
5,49,9
51,50,4
29,72,6
29,57,7
14,89,13
58,40,6
9,99,6
20,55,5
62,27,7
62,43,12
62,1,10
44,54,12
32,27,3
23,85,8
68,74,6
55,91,9
41,3,8
33,8,2
47,45,5
67,92,6
93,29,2
93,80,6
93,28,12
26,75,3
57,12,5
3,15,8
3,81,8
3,30,7
30,18,6
10,2,3
44,84,7
16,97,4
34,5,4
34,31,8
64,12,6
37,64,4
53,58,8
7,33,6
17,1,10
17,2,8
94,40,8
27,9,6
32,68,5
11,23,5
87,65,7
0,25,6
0,57,6
24,34,9
24,60,6
97,56,9
97,84,7
39,19,10
88,56,7
43,93,8
18,90,7
54,69,5
56,70,8
75,22,9
99,52,7
41,40,8
6,74,6
6,37,9
93,53,8
12,85,3
50,43,7
30,51,6
23,89,4
88,0,9
91,6,8
91,91,8
96,28,5
22,73,3
52,69,6
12,37,10
83,6,9
83,25,7
74,34,6
65,23,7
62,78,11
30,0,5
13,67,6
16,3,8
64,31,5
45,71,6
92,24,11
92,67,8
31,53,6
40,99,2
78,32,5
7,21,6
7,87,6
70,29,9
94,96,10
94,62,5
36,47,7
95,65,5
95,97,10
48,21,9
48,75,7
48,94,6
86,37,9
11,63,5
11,35,5
80,72,7
80,93,6
24,17,7
97,45,2
68,60,8
56,33,6
67,40,9
42,47,9
5,33,8
51,58,6
26,40,7
52,62,5
12,93,5
30,44,5
44,55,7
61,56,7
32,8,6
87,40,3
69,94,4
79,92,5
55,99,8
77,92,7
33,84,7
73,4,7
42,27,5
26,25,4
21,79,7
57,21,5
57,7,11
58,89,5
58,33,6
