edge_1,edge_2,length
47,32,1
47,24,6
15,14,3
39,11,2
3,22,3
32,26,4
28,16,3
43,7,3
35,45,7
49,49,3
33,37,3
15,26,5
47,45,3
3,15,5
32,43,3
33,8,4
32,27,4
48,6,4
23,6,4
30,18,1
10,2,2
41,3,4
5,49,5
5,40,4
17,33,4
31,47,4
22,33,4
3,30,5
39,19,4
30,0,4
41,40,5
17,1,6
34,5,2
34,31,5
17,2,3
6,37,2
27,9,5
16,3,4
24,34,4
0,25,1
12,37,1
7,33,3
11,23,3
15,24,5
32,8,4
48,21,5
30,44,4
11,35,4
26,40,5
42,47,2
24,17,4
26,25,3
13,10,3
7,21,5
42,27,4
38,37,2
36,47,5
5,33,6
48,38,4
48,33,5
30,22,1
6,20,3
13,44,5
5,16,4
28,15,3
37,31,6
45,4,3
42,42,3
1,37,1
9,10,4
24,10,4
34,9,1
4,10,3
1,0,5
9,16,4
44,8,5
24,9,4
45,31,4
35,44,4
2,45,5
2,40,3
6,1,1
49,37,3
33,39,2
48,1,4
39,42,4
34,8,4
15,15,3
26,20,2
13,24,6
4,47,3
18,39,1
3,1,6
47,23,5
8,47,4
39,45,6
22,45,4
17,3,4
12,30,4
7,37,3
42,10,3
31,31,4
11,42,5
40,6,4
38,6,3
37,14,4
35,34,2
46,28,2
37,41,4
32,10,3
22,40,5
22,8,5
18,49,3
31,7,2
27,13,5
7,4,4
28,24,7
28,26,4
19,33,5
47,2,4
34,26,5
2,2,3
22,9,4
12,19,4
31,2,3
16,39,2
42,26,4
46,3,5
44,10,5
18,16,4
30,28,1
16,43,4
45,49,2
1,46,4
22,6,4
19,39,4
25,11,3
40,31,4
38,16,4
19,47,5
18,1,3
35,25,4
33,28,2
27,10,3
6,22,4
1,25,4
28,28,4
9,4,5
8,9,2
47,39,3
17,49,4
24,39,4
12,7,3
32,36,4
42,40,3
38,15,5
48,29,3
6,25,3
2,26,4
39,49,4
34,28,4
8,3,7
19,2,3
18,37,3
24,26,5
34,15,4
43,46,4
20,22,1
48,30,5
25,39,2
10,15,4
14,38,4
48,40,4
22,23,4
0,13,5
35,15,4
3,13,4
46,38,2
7,31,4
29,35,4
20,30,4
41,8,4
13,8,1
47,10,2
43,17,3
49,46,1
33,24,3
17,31,3
7,14,2
36,39,3
45,30,1
2,19,2
49,26,4
31,37,2
47,7,2
39,3,3
3,43,3
33,35,2
3,18,3
30,24,2
10,24,6
42,15,4
44,9,1
12,17,4
20,2,4
46,6,2
31,45,5
7,25,3
43,22,4
23,17,4
26,47,4
38,20,4
37,30,3
45,20,4
